Wall time,Step,Value
1765824011.9232461,163823616,239.11178588867188
1765824020.0409758,164118528,239.678466796875
1765824060.5314043,165593088,237.68890380859375
1765824077.8451548,166182912,239.0872802734375
1765824106.129944,167215104,239.09486389160156
1765824114.394186,167510016,237.96221923828125
1765824135.5470905,168247296,237.50418090820312
1765824165.5244453,169279488,238.96847534179688
1765824187.0011847,170016768,236.46658325195312
1765824190.818908,170164224,239.28436279296875
1765824238.7178788,171933696,239.73190307617188
1765824278.3181484,173408256,239.36669921875
1765824287.056566,173703168,239.13946533203125
1765824291.4191468,173850624,240.00001525878906
1765824319.7117481,174882816,239.9999542236328
1765824355.513745,176209920,238.6462860107422
1765824359.6133425,176357376,238.93226623535156
1765824410.2693417,178126848,238.0668182373047
1765824443.8105297,179306496,239.0047149658203
1765824460.224206,179896320,238.77952575683594
1765824489.048041,180928512,239.48333740234375
1765824568.3926997,183730176,239.533935546875
1765824576.301593,184025088,239.77304077148438
1765824597.0461,184762368,237.71456909179688
1765824600.9733853,184909824,239.13742065429688
1765824609.0267386,185204736,239.58921813964844
1765824620.8291812,185647104,240.0
1765824636.99869,186236928,239.7074737548828
1765824661.4488978,187121664,239.68038940429688
1765824678.3084366,187711488,238.6436004638672
1765824699.4808698,188448768,239.25050354003906
1765824724.8013165,189333504,239.97113037109375
1765824760.0615542,190513152,239.91847229003906
1765824794.4651797,191692800,239.3978729248047
1765824827.9289973,192872448,239.41580200195312
1765824865.6618662,194199552,238.48236083984375
1765824894.8545895,195231744,238.8801727294922
1765824907.4551287,195674112,239.0779571533203
1765824911.6846175,195821568,238.99388122558594
1765824947.6712377,197148672,238.94400024414062
1765824989.8613455,198623232,237.98403930664062
1765825054.6800852,200835072,237.2869110107422
1765825071.5863023,201424896,238.94296264648438
1765825116.9370568,203046912,239.76190185546875
1765825121.336097,203194368,239.7186737060547
1765825139.4649818,203784192,238.50868225097656
1765825292.0598407,209240064,240.00001525878906
1765825378.4017856,212336640,238.554443359375
1765825382.7535987,212484096,238.57066345214844
1765825456.6151254,215138304,240.00001525878906
1765825460.6791365,215285760,239.17645263671875
1765825472.776234,215728128,239.6337432861328
1765825524.9185567,217645056,239.7885284423828
1765825533.325115,217939968,237.999755859375
1765825580.4542365,219561984,239.77980041503906
1765825592.6186852,220004352,239.2029571533203
1765825609.986427,220594176,236.57635498046875
1765825643.5013344,221773824,238.076904296875
1765825672.0859396,222806016,239.90328979492188
1765825676.2625225,222953472,239.98251342773438
1765825689.390743,223395840,239.08436584472656
1765825701.447686,223838208,239.96031188964844
1765825751.842408,225607680,237.94696044921875
1765825777.8168774,226492416,238.4807586669922
1765825795.4841774,227082240,239.6246795654297
1765825835.6469827,228556800,239.47398376464844
1765825848.1830556,228999168,239.54856872558594
1765825907.7828846,231063552,238.6182403564453
1765825920.6298156,231505920,239.36395263671875
1765825941.6401186,232243200,238.72874450683594
1765825954.312493,232685568,238.68470764160156
1765825991.7093403,234012672,239.17279052734375
1765826038.5979135,235634688,239.34811401367188
1765826060.1399903,236371968,238.96075439453125
1765826068.6485481,236666880,239.74964904785156
1765826170.0250535,240205824,239.68820190429688
1765826203.0856607,241385472,239.5376739501953
1765826211.6875463,241680384,240.0
1765826252.7540174,243154944,239.32586669921875
1765826283.0555072,244187136,239.0743865966797
1765826316.925829,245366784,238.69003295898438
1765826349.884705,246546432,239.636474609375
1765826379.696727,247578624,240.00001525878906
1765826387.8183203,247873536,239.17605590820312
1765826411.6801386,248758272,239.50936889648438
1765826448.8473315,250085376,239.0746612548828
1765826482.2216225,251265024,239.5265350341797
1765826490.4246225,251559936,238.69497680664062
1765826502.806499,252002304,239.6628875732422
1765826515.565609,252444672,239.82199096679688
1765826519.9188,252592128,238.53631591796875
1765826549.3427064,253624320,239.0824432373047
1765826569.6225953,254361600,239.69915771484375
1765826598.1054885,255393792,239.766845703125
1765826635.0083795,256720896,238.96115112304688
1765826658.966509,257605632,238.5516815185547
1765826696.2007976,258932736,239.31007385253906
1765826742.9362237,260554752,239.90695190429688
1765826784.3455813,262029312,239.095458984375
1765826792.4858408,262324224,240.0
1765826821.0641267,263356416,239.37332153320312
1765826841.459945,264093696,239.80545043945312
1765826853.996243,264536064,238.94436645507812
1765826886.6181936,265715712,239.874267578125
1765826966.2740622,268517376,239.23439025878906
1765827084.9937499,272646144,239.97950744628906
1765827101.670528,273235968,239.5007781982422
1765827138.3060355,274563072,239.10421752929688
1765827159.4148436,275300352,238.57876586914062
1765827167.8906267,275595264,239.0648651123047
1765827256.2155013,278691840,239.43380737304688
1765827301.9098644,280313856,239.39987182617188
1765827314.12388,280756224,239.33670043945312
1765827340.1482234,281640960,238.3587188720703
1765827344.4011147,281788416,239.7787322998047
1765827407.1101773,284000256,239.24017333984375
1765827411.4482844,284147712,238.0621795654297
1765827458.5170364,285769728,239.75831604003906
1765827475.4257994,286359552,239.855712890625
1765827496.295807,287096832,239.8247528076172
1765827504.4584785,287391744,239.42398071289062
1765827541.312841,288718848,239.70265197753906
1765827557.4500322,289308672,237.89675903320312
1765827561.5683458,289456128,239.2958984375
1765827569.7918513,289751040,239.74630737304688
1765827573.8667538,289898496,238.69825744628906
1765827582.2409039,290193408,239.7742462158203
1765827628.7180157,291815424,239.67962646484375
1765827637.486348,292110336,239.73007202148438
1765827671.395148,293289984,239.939697265625
1765827675.5606844,293437440,239.2634735107422
1765827687.9821973,293879808,236.94749450683594
1765827833.1667895,299040768,238.0330352783203
1765828018.0062077,305528832,239.93283081054688
1765828054.7578547,306855936,238.50125122070312
1765828095.8758426,308330496,239.28372192382812
1765828141.3767452,309952512,239.1844482421875
1765828153.674805,310394880,239.6352996826172
1765828178.9393094,311279616,239.481201171875
1765828199.5981288,312016896,239.481201171875
1765828203.927765,312164352,238.1834259033203
1765828220.479357,312754176,239.76925659179688
1765828224.5206664,312901632,238.90293884277344
1765828254.1699224,313933824,239.99276733398438
1765828306.8579223,315703296,239.8693084716797
1765828392.0968032,318652416,239.80120849609375
1765828434.3690271,320126976,238.86151123046875
1765828510.4102426,322781184,239.5785675048828
1765828541.0925186,323813376,239.9501190185547
1765828604.384493,326025216,239.98989868164062
1765828630.4803061,326909952,239.74948120117188
1765828673.5945601,328384512,237.6510467529297
1765828719.5738425,330006528,238.5341033935547
1765828731.8204257,330448896,238.7021942138672
1765828752.150028,331186176,238.48049926757812
1765828806.3481581,333103104,240.0
1765828906.180358,336642048,239.47470092773438
1765829010.2741015,340180992,239.779296875
1765829055.5403917,341803008,238.4791717529297
1765829067.3606377,342245376,239.6793670654297
1765829088.1739686,342982656,239.3725128173828
1765829121.625859,344162304,239.53363037109375
1765829164.6223187,345636864,239.23251342773438
1765829204.5203714,347111424,239.9657440185547
1765829232.855071,348143616,239.4968719482422
1765829359.767942,352567296,239.62095642089844
1765829377.1509829,353157120,238.98585510253906
1765829381.6649718,353304576,239.7479248046875
1765829398.3360512,353894400,239.78152465820312
1765829537.4427478,358760448,239.75405883789062
1765829561.0365882,359497728,238.25213623046875
1765829584.5335765,360235008,239.7596893310547
1765829638.347486,362151936,238.58444213867188
1765829671.5108278,363331584,239.734375
1765829684.3994823,363773952,238.2659912109375
1765829767.7366428,366723072,239.59486389160156
1765829800.1256466,367902720,239.4341278076172
1765829820.356957,368640000,239.66079711914062
1765829828.6850207,368934912,239.49002075195312
1765829840.7699044,369377280,239.9496307373047
1765829848.4271202,369672192,239.9613800048828
1765829852.3289692,369819648,239.40879821777344
1765829897.2255557,371441664,240.0
1765829905.72893,371736576,239.85614013671875
1765829914.256175,372031488,239.43821716308594
1765829944.2426236,373063680,239.86224365234375
1765829952.25463,373358592,239.86831665039062
1765829985.3001833,374538240,239.34921264648438
1765830096.2458575,378519552,238.62071228027344
1765830100.4310894,378667008,239.33895874023438
1765830145.008858,380289024,240.0
1765830148.9282103,380436480,239.0169677734375
1765830189.0416892,381911040,239.95872497558594
1765830204.8372712,382500864,238.1708221435547
1765830232.8522682,383533056,239.81370544433594
1765830261.1774988,384565248,239.95187377929688
1765830311.2450318,386482176,239.85179138183594
1765830344.729291,387661824,238.7314910888672
1765830348.8715367,387809280,239.78518676757812
1765830376.8223436,388841472,238.83607482910156
1765830388.735752,389283840,238.23744201660156
1765830392.678429,389431296,239.07159423828125
1765830396.8103018,389578752,239.49673461914062
1765830408.900689,390021120,239.97625732421875
1765830484.0277357,392822784,239.31280517578125
1765830515.144141,394002432,238.85569763183594
1765830519.1974738,394149888,239.85423278808594
1765830531.4662256,394592256,238.5272216796875
1765830559.72724,395624448,239.77847290039062
1765830571.7074742,396066816,239.94970703125
1765830579.2108967,396361728,239.1414794921875
1765830591.171638,396804096,239.726318359375
1765830607.251565,397393920,239.91458129882812
1765830643.734828,398721024,239.7966766357422
1765830667.9501348,399605760,239.9851531982422
1765830687.9618306,400343040,239.50225830078125
1765830703.336714,400932864,240.0
1765830750.687532,402702336,239.82875061035156
1765830754.7161753,402849792,239.10513305664062
1765830770.463299,403439616,238.70323181152344
1765830790.7007408,404176896,239.69625854492188
1765830794.8137732,404324352,239.69288635253906
1765830798.8408082,404471808,239.41786193847656
1765830810.1287978,404914176,240.0
1765830845.3929155,406241280,239.6336669921875
1765830849.5517604,406388736,239.620361328125
1765830853.7603006,406536192,239.19659423828125
1765830873.5548472,407273472,239.99755859375
1765830893.0306857,408010752,239.8866729736328
1765830905.2950113,408453120,239.94911193847656
1765830925.3486173,409190400,238.730712890625
1765830946.2332137,409927680,239.57481384277344
1765830974.6138878,410959872,239.1507110595703
1765831023.1209207,412729344,240.0
1765831084.5854282,414941184,239.211181640625
1765831132.8754575,416710656,239.9390411376953
1765831173.8087132,418185216,239.81546020507812
1765831189.821491,418775040,239.2974395751953
1765831214.0828047,419659776,239.86239624023438
1765831241.7747462,420691968,239.66561889648438
1765831280.8821867,422166528,239.56741333007812
1765831284.7359216,422313984,239.17169189453125
1765831359.2463813,425115648,239.80197143554688
1765831363.116699,425263104,239.75741577148438
1765831400.6647167,426590208,239.95851135253906
1765831408.2730892,426885120,239.70516967773438
