playtime target_pos(x) target_pos(y) target_pos(z) current_pos(x) current_pos(y) current_pos(z) q_desired_1 q_desired_2 q_desired_3 q_desired_4 q_desired_5 q_desired_6 q_desired_7
9.049 0.25 0.28 0.65 0.554622 0.000172946 0.623684 0.000626936 -0.00087729  0.00110715    -1.57237  0.00018052     1.57021    0.787077
9.05 0.25 0.28 0.65 0.554619 0.00018184 0.623683  0.000648147 -0.000926496   0.00114461     -1.57241  0.000187968       1.5702     0.787133
9.051 0.25 0.28 0.65 0.554615 0.000191007 0.623682  0.000669704 -0.000976504   0.00118267     -1.57245  0.000195538      1.57018     0.787191
9.052 0.25 0.28 0.65 0.554611 0.000200451 0.623681 0.000691606 -0.00102731  0.00122135    -1.57248 0.000203228     1.57017     0.78725
9.053 0.25 0.28 0.65 0.554607 0.000210175 0.62368 0.000713853 -0.00107892  0.00126064    -1.57252 0.000211039     1.57015    0.787309
9.054 0.25 0.28 0.65 0.554603 0.000220182 0.623679 0.000736444 -0.00113133  0.00130054    -1.57256 0.000218972     1.57013     0.78737
9.055 0.25 0.28 0.65 0.554599 0.000230475 0.623679 0.000759378 -0.00118453  0.00134104     -1.5726 0.000227025     1.57012    0.787431
9.056 0.25 0.28 0.65 0.554594 0.000241057 0.623678 0.000782657 -0.00123853  0.00138215    -1.57263 0.000235198      1.5701    0.787493
9.057 0.25 0.28 0.65 0.554589 0.000251931 0.623678 0.000806278 -0.00129333  0.00142386    -1.57267 0.000243492     1.57008    0.787557
9.058 0.25 0.28 0.65 0.554585 0.000263099 0.623678 0.000830243 -0.00134892  0.00146618    -1.57271 0.000251907     1.57006    0.787621
9.059 0.25 0.28 0.65 0.55458 0.000274564 0.623677 0.000854549 -0.00140531  0.00150911    -1.57276 0.000260442     1.57005    0.787686
9.06 0.25 0.28 0.65 0.554574 0.00028633 0.623677 0.000879198 -0.00146249  0.00155264     -1.5728 0.000269097     1.57003    0.787752
9.061 0.25 0.28 0.65 0.554569 0.000298398 0.623678 0.000904189 -0.00152046  0.00159677    -1.57284 0.000277872     1.57001    0.787819
