playtime target_pos(x) target_pos(y) target_pos(z) current_pos(x) current_pos(y) current_pos(z) q_desired_1 q_desired_2 q_desired_3 q_desired_4 q_desired_5 q_desired_6 q_desired_7
6.538 0.25 0.28 0.65 0.554746 -2.56014e-06 0.623486  1.50478e-05  0.000940498  1.51058e-05     -1.57181 -6.59342e-05      1.57065     0.785427
6.539 0.25 0.28 0.65 0.554747 -2.46614e-06 0.623479  1.53301e-05  0.000945785  1.53906e-05     -1.57182 -6.63289e-05      1.57065     0.785427
6.54 0.25 0.28 0.65 0.554749 -2.37012e-06 0.623473   1.5614e-05  0.000951065  1.56772e-05     -1.57182 -6.67236e-05      1.57065     0.785428
6.541 0.25 0.28 0.65 0.55475 -2.2721e-06 0.623466  1.58996e-05  0.000956339  1.59655e-05     -1.57183 -6.71183e-05      1.57065     0.785428
6.542 0.25 0.28 0.65 0.554752 -2.17206e-06 0.62346 1.61868e-05 0.000961606 1.62555e-05    -1.57184 -6.7513e-05     1.57065    0.785429
6.543 0.25 0.28 0.65 0.554753 -2.07002e-06 0.623453  1.64758e-05  0.000966866  1.65472e-05     -1.57185 -6.79076e-05      1.57064      0.78543
6.544 0.25 0.28 0.65 0.554755 -1.96597e-06 0.623447  1.67664e-05   0.00097212  1.68406e-05     -1.57185 -6.83023e-05      1.57064      0.78543
6.545 0.25 0.28 0.65 0.554756 -1.85991e-06 0.62344  1.70587e-05  0.000977367  1.71358e-05     -1.57186 -6.86969e-05      1.57064     0.785431
6.546 0.25 0.28 0.65 0.554757 -1.75185e-06 0.623434  1.73526e-05  0.000982608  1.74326e-05     -1.57187 -6.90915e-05      1.57064     0.785431
6.547 0.25 0.28 0.65 0.554759 -1.64179e-06 0.623427  1.76482e-05  0.000987842  1.77312e-05     -1.57188 -6.94861e-05      1.57064     0.785432
6.548 0.25 0.28 0.65 0.55476 -1.52973e-06 0.62342  1.79455e-05   0.00099307  1.80315e-05     -1.57189 -6.98806e-05      1.57064     0.785432
6.549 0.25 0.28 0.65 0.554762 -1.41566e-06 0.623414  1.82445e-05  0.000998291  1.83335e-05     -1.57189 -7.02752e-05      1.57064     0.785433
6.55 0.25 0.28 0.65 0.554763 -1.2996e-06 0.623407  1.85451e-05   0.00100351  1.86373e-05      -1.5719 -7.06697e-05      1.57064     0.785434
6.551 0.25 0.28 0.65 0.554765 -1.18154e-06 0.623401  1.88473e-05   0.00100871  1.89427e-05     -1.57191 -7.10643e-05      1.57064     0.785434
6.552 0.25 0.28 0.65 0.554766 -1.06148e-06 0.623394  1.91513e-05   0.00101392  1.92498e-05     -1.57192 -7.14588e-05      1.57064     0.785435
6.553 0.25 0.28 0.65 0.554768 -9.39429e-07 0.623388  1.94569e-05   0.00101911  1.95587e-05     -1.57192 -7.18533e-05      1.57064     0.785435
6.554 0.25 0.28 0.65 0.554769 -8.15385e-07 0.623381  1.97641e-05    0.0010243  1.98692e-05     -1.57193 -7.22477e-05      1.57064     0.785436
6.555 0.25 0.28 0.65 0.55477 -6.89349e-07 0.623375  2.00731e-05   0.00102948  2.01815e-05     -1.57194 -7.26422e-05      1.57064     0.785436
6.556 0.25 0.28 0.65 0.554772 -5.61323e-07 0.623368  2.03836e-05   0.00103466  2.04955e-05     -1.57195 -7.30367e-05      1.57064     0.785437
6.557 0.25 0.28 0.65 0.554773 -4.31308e-07 0.623361  2.06959e-05   0.00103982  2.08111e-05     -1.57195 -7.34311e-05      1.57064     0.785438
6.558 0.25 0.28 0.65 0.554775 -2.99306e-07 0.623355  2.10097e-05   0.00104499  2.11285e-05     -1.57196 -7.38255e-05      1.57064     0.785438
6.559 0.25 0.28 0.65 0.554776 -1.65317e-07 0.623348  2.13253e-05   0.00105014  2.14476e-05     -1.57197 -7.42199e-05      1.57063     0.785439
6.56 0.25 0.28 0.65 0.554778 -2.93442e-08 0.623342  2.16425e-05   0.00105529  2.17683e-05     -1.57198 -7.46143e-05      1.57063     0.785439
6.561 0.25 0.28 0.65 0.554779 1.08612e-07 0.623335  2.19613e-05   0.00106044  2.20908e-05     -1.57198 -7.50087e-05      1.57063      0.78544
6.562 0.25 0.28 0.65 0.55478 2.4855e-07 0.623329 2.22818e-05  0.00106557  2.2415e-05    -1.57199 -7.5403e-05     1.57063    0.785441
6.563 0.25 0.28 0.65 0.554782 3.90469e-07 0.623322  2.26039e-05    0.0010707  2.27408e-05       -1.572 -7.57974e-05      1.57063     0.785441
6.564 0.25 0.28 0.65 0.554783 5.34366e-07 0.623316  2.29277e-05   0.00107583  2.30684e-05     -1.57201 -7.61917e-05      1.57063     0.785442
6.565 0.25 0.28 0.65 0.554785 6.80241e-07 0.623309 2.32531e-05  0.00108094 2.33976e-05    -1.57202 -7.6586e-05     1.57063    0.785442
6.566 0.25 0.28 0.65 0.554786 8.28093e-07 0.623302  2.35802e-05   0.00108605  2.37285e-05     -1.57202 -7.69803e-05      1.57063     0.785443
6.567 0.25 0.28 0.65 0.554788 9.77919e-07 0.623296  2.39089e-05   0.00109116  2.40611e-05     -1.57203 -7.73746e-05      1.57063     0.785444
6.568 0.25 0.28 0.65 0.554789 1.12972e-06 0.623289  2.42393e-05   0.00109626  2.43954e-05     -1.57204 -7.77688e-05      1.57063     0.785444
6.569 0.25 0.28 0.65 0.55479 1.28349e-06 0.623283  2.45712e-05   0.00110135  2.47314e-05     -1.57205 -7.81631e-05      1.57063     0.785445
6.57 0.25 0.28 0.65 0.554792 1.43923e-06 0.623276  2.49049e-05   0.00110643  2.50691e-05     -1.57205 -7.85573e-05      1.57063     0.785446
6.571 0.25 0.28 0.65 0.554793 1.59694e-06 0.62327  2.52402e-05   0.00111151  2.54085e-05     -1.57206 -7.89515e-05      1.57063     0.785446
6.572 0.25 0.28 0.65 0.554795 1.75662e-06 0.623263  2.55771e-05   0.00111658  2.57495e-05     -1.57207 -7.93457e-05      1.57063     0.785447
6.573 0.25 0.28 0.65 0.554796 1.91827e-06 0.623257  2.59156e-05   0.00112165  2.60922e-05     -1.57208 -7.97399e-05      1.57063     0.785448
6.574 0.25 0.28 0.65 0.554797 2.08188e-06 0.62325 2.62558e-05  0.00112671 2.64366e-05    -1.57209 -8.0134e-05     1.57063    0.785448
6.575 0.25 0.28 0.65 0.554799 2.24745e-06 0.623243  2.65976e-05   0.00113176  2.67827e-05     -1.57209 -8.05282e-05      1.57063     0.785449
6.576 0.25 0.28 0.65 0.5548 2.41499e-06 0.623237  2.69411e-05   0.00113681  2.71305e-05      -1.5721 -8.09223e-05      1.57062     0.785449
6.577 0.25 0.28 0.65 0.554801 2.58449e-06 0.62323  2.72861e-05   0.00114185  2.74799e-05     -1.57211 -8.13164e-05      1.57062      0.78545
6.578 0.25 0.28 0.65 0.554803 2.75595e-06 0.623224  2.76328e-05   0.00114688   2.7831e-05     -1.57212 -8.17105e-05      1.57062     0.785451
6.579 0.25 0.28 0.65 0.554804 2.92936e-06 0.623217  2.79812e-05   0.00115191  2.81838e-05     -1.57212 -8.21046e-05      1.57062     0.785451
6.58 0.25 0.28 0.65 0.554806 3.10473e-06 0.623211  2.83311e-05   0.00115693  2.85383e-05     -1.57213 -8.24986e-05      1.57062     0.785452
6.581 0.25 0.28 0.65 0.554807 3.28206e-06 0.623204  2.86827e-05   0.00116194  2.88944e-05     -1.57214 -8.28926e-05      1.57062     0.785453
6.582 0.25 0.28 0.65 0.554808 3.46134e-06 0.623198  2.90359e-05   0.00116695  2.92522e-05     -1.57215 -8.32867e-05      1.57062     0.785453
6.583 0.25 0.28 0.65 0.55481 3.64257e-06 0.623191  2.93908e-05   0.00117195  2.96117e-05     -1.57216 -8.36807e-05      1.57062     0.785454
6.584 0.25 0.28 0.65 0.554811 3.82576e-06 0.623184  2.97472e-05   0.00117695  2.99728e-05     -1.57216 -8.40747e-05      1.57062     0.785455
6.585 0.25 0.28 0.65 0.554813 4.01089e-06 0.623178  3.01053e-05   0.00118193  3.03356e-05     -1.57217 -8.44686e-05      1.57062     0.785455
6.586 0.25 0.28 0.65 0.554814 4.19797e-06 0.623171   3.0465e-05   0.00118692     3.07e-05     -1.57218 -8.48626e-05      1.57062     0.785456
6.587 0.25 0.28 0.65 0.554815 4.387e-06 0.623165  3.08263e-05   0.00119189  3.10662e-05     -1.57219 -8.52565e-05      1.57062     0.785457
6.588 0.25 0.28 0.65 0.554817 4.57797e-06 0.623158  3.11892e-05   0.00119686  3.14339e-05      -1.5722 -8.56504e-05      1.57062     0.785457
6.589 0.25 0.28 0.65 0.554818 4.77089e-06 0.623152  3.15538e-05   0.00120183  3.18034e-05      -1.5722 -8.60443e-05      1.57062     0.785458
6.59 0.25 0.28 0.65 0.554819 4.96575e-06 0.623145  3.19199e-05   0.00120678  3.21745e-05     -1.57221 -8.64382e-05      1.57062     0.785459
6.591 0.25 0.28 0.65 0.554821 5.16255e-06 0.623139  3.22877e-05   0.00121173  3.25473e-05     -1.57222 -8.68321e-05      1.57062      0.78546
6.592 0.25 0.28 0.65 0.554822 5.36129e-06 0.623132  3.26571e-05   0.00121668  3.29217e-05     -1.57223 -8.72259e-05      1.57061      0.78546
6.593 0.25 0.28 0.65 0.554823 5.56197e-06 0.623125  3.30281e-05   0.00122162  3.32978e-05     -1.57224 -8.76197e-05      1.57061     0.785461
6.594 0.25 0.28 0.65 0.554825 5.76459e-06 0.623119  3.34007e-05   0.00122655  3.36755e-05     -1.57224 -8.80136e-05      1.57061     0.785462
6.595 0.25 0.28 0.65 0.554826 5.96914e-06 0.623112  3.37749e-05   0.00123147  3.40549e-05     -1.57225 -8.84073e-05      1.57061     0.785462
