playtime ee_desired_x ee_desired_y ee_desired_z ee_current_x ee_current_y ee_current_z obstacle_x obstacle_y obstacle_z distance_norm q_joint_1 q_joint_2 q_joint_3 q_joint_4 q_joint_5 q_joint_6 q_joint_7
9.468 0.3 -0.012 0.52 -0.0160639 -0.000265514 0.82155 0.15 -0.012 0.65 0.239049 -2.94965e-05 -1.06234 -0.000371912 -1.61695 -0.000840866 0.551919 -0.0198874
9.469 0.3 -0.012 0.52 -0.015942 -0.000272847 0.821348 0.15 -0.012 0.65 0.238819 -3.12223e-05 -1.06267 -0.000379694 -1.61794 -0.00087216 0.55215 -0.019888
9.47 0.3 -0.012 0.52 -0.0158198 -0.000280223 0.821145 0.15 -0.012 0.65 0.238588 -3.29961e-05 -1.06301 -0.000387545 -1.61893 -0.000903563 0.552385 -0.0198886
9.471 0.3 -0.012 0.52 -0.0156972 -0.000287642 0.820941 0.15 -0.012 0.65 0.238356 -3.48177e-05 -1.06334 -0.000395465 -1.61993 -0.000935071 0.552623 -0.0198891
9.472 0.3 -0.012 0.52 -0.0155742 -0.000295102 0.820737 0.15 -0.012 0.65 0.238124 -3.66869e-05 -1.06368 -0.000403452 -1.62093 -0.000966679 0.552864 -0.0198897
9.473 0.3 -0.012 0.52 -0.015451 -0.000302602 0.820531 0.15 -0.012 0.65 0.23789 -3.86035e-05 -1.06402 -0.000411507 -1.62193 -0.000998382 0.553109 -0.0198903
9.474 0.3 -0.012 0.52 -0.0153274 -0.000310142 0.820325 0.15 -0.012 0.65 0.237656 -4.05671e-05 -1.06436 -0.000419627 -1.62294 -0.00103018 0.553356 -0.0198908
9.475 0.3 -0.012 0.52 -0.0152035 -0.000317721 0.820119 0.15 -0.012 0.65 0.237422 -4.25776e-05 -1.06471 -0.000427813 -1.62395 -0.00106206 0.553608 -0.0198913
9.476 0.3 -0.012 0.52 -0.0150793 -0.000325337 0.819911 0.15 -0.012 0.65 0.237186 -4.46346e-05 -1.06505 -0.000436063 -1.62496 -0.00109402 0.553862 -0.0198919
9.477 0.3 -0.012 0.52 -0.0149548 -0.00033299 0.819703 0.15 -0.012 0.65 0.23695 -4.6738e-05 -1.0654 -0.000444376 -1.62598 -0.00112606 0.55412 -0.0198924
9.478 0.3 -0.012 0.52 -0.0148301 -0.000340679 0.819495 0.15 -0.012 0.65 0.236714 -4.88873e-05 -1.06575 -0.000452753 -1.627 -0.00115817 0.554381 -0.0198929
9.479 0.3 -0.012 0.52 -0.0147051 -0.000348403 0.819285 0.15 -0.012 0.65 0.236476 -5.10824e-05 -1.0661 -0.000461191 -1.62802 -0.00119035 0.554645 -0.0198934
9.48 0.3 -0.012 0.52 -0.0145799 -0.000356162 0.819075 0.15 -0.012 0.65 0.236239 -5.3323e-05 -1.06646 -0.000469691 -1.62905 -0.0012226 0.554913 -0.0198939
9.481 0.3 -0.012 0.52 -0.0144544 -0.000363955 0.818865 0.15 -0.012 0.65 0.236 -5.56086e-05 -1.06681 -0.000478251 -1.63008 -0.00125491 0.555183 -0.0198944
9.482 0.3 -0.012 0.52 -0.0143287 -0.00037178 0.818654 0.15 -0.012 0.65 0.235761 -5.79391e-05 -1.06717 -0.000486872 -1.63111 -0.00128728 0.555457 -0.0198949
9.483 0.3 -0.012 0.52 -0.0142028 -0.000379638 0.818443 0.15 -0.012 0.65 0.235522 -6.03141e-05 -1.06753 -0.000495551 -1.63215 -0.00131971 0.555734 -0.0198954
9.484 0.3 -0.012 0.52 -0.0140767 -0.000387528 0.81823 0.15 -0.012 0.65 0.235282 -6.27332e-05 -1.06789 -0.000504289 -1.63319 -0.00135219 0.556015 -0.0198958
9.485 0.3 -0.012 0.52 -0.0139504 -0.000395448 0.818018 0.15 -0.012 0.65 0.235041 -6.51962e-05 -1.06825 -0.000513085 -1.63423 -0.00138471 0.556298 -0.0198963
9.486 0.3 -0.012 0.52 -0.0138239 -0.000403398 0.817805 0.15 -0.012 0.65 0.2348 -6.77027e-05 -1.06861 -0.000521938 -1.63527 -0.00141728 0.556585 -0.0198968
9.487 0.3 -0.012 0.52 -0.0136973 -0.000411378 0.817591 0.15 -0.012 0.65 0.234559 -7.02524e-05 -1.06898 -0.000530848 -1.63631 -0.0014499 0.556874 -0.0198972
9.488 0.3 -0.012 0.52 -0.0135704 -0.000419387 0.817377 0.15 -0.012 0.65 0.234317 -7.28449e-05 -1.06934 -0.000539814 -1.63736 -0.00148255 0.557167 -0.0198977
9.489 0.3 -0.012 0.52 -0.0134434 -0.000427424 0.817163 0.15 -0.012 0.65 0.234075 -7.54799e-05 -1.06971 -0.000548835 -1.63841 -0.00151523 0.557463 -0.0198981
9.49 0.3 -0.012 0.52 -0.0133163 -0.000435488 0.816948 0.15 -0.012 0.65 0.233833 -7.81571e-05 -1.07008 -0.000557911 -1.63946 -0.00154795 0.557762 -0.0198985
