step,contact_force_magnitude,fs_force_x,fs_force_y,fs_force_z,fs_torque_x,fs_torque_y,fs_torque_z,osc_torque_j1,ft_torque_j1,diff_torque_j1,osc_torque_j2,ft_torque_j2,diff_torque_j2,osc_torque_j3,ft_torque_j3,diff_torque_j3,osc_torque_j4,ft_torque_j4,diff_torque_j4,osc_torque_j5,ft_torque_j5,diff_torque_j5,osc_torque_j6,ft_torque_j6,diff_torque_j6,osc_torque_j7,ft_torque_j7,diff_torque_j7
185,9.820104598999023,-0.536713182926178,-0.9137314558029175,9.80804443359375,0.07516796886920929,-0.0018065186450257897,0.0004909966373816133,-0.3657786548137665,-0.4424741268157959,0.07669547200202942,4.172012805938721,4.156352996826172,0.015659809112548828,-0.6502618789672852,-0.7212191224098206,0.0709572434425354,-1.2140920162200928,-1.2069629430770874,-0.007129073143005371,-0.041196439415216446,-0.04332935810089111,0.0021329186856746674,-0.6916055679321289,-0.6837548613548279,-0.007850706577301025,0.0006843541632406414,0.0001243322913069278,0.0005600218428298831
190,9.901681900024414,-0.5225196480751038,-0.8983427882194519,9.902983665466309,0.09560389816761017,0.0035394986625760794,-0.0002464023418724537,-0.4397538900375366,-0.45126405358314514,0.01151016354560852,4.166254997253418,4.157444953918457,0.008810043334960938,-0.7142839431762695,-0.7268013954162598,0.012517452239990234,-1.208060383796692,-1.2053215503692627,-0.0027388334274291992,-0.040343012660741806,-0.040179505944252014,-0.00016350671648979187,-0.6863316893577576,-0.6820420026779175,-0.004289686679840088,0.0005561671569012105,0.0002385681145824492,0.00031759904231876135
195,9.994743347167969,-0.5191081762313843,-0.9387810826301575,9.994698524475098,0.09819161146879196,0.005886510945856571,-0.0005331503343768418,-0.43650659918785095,-0.4359765350818634,-0.0005300641059875488,4.164923191070557,4.162652015686035,0.0022711753845214844,-0.7080032825469971,-0.7090505957603455,0.0010473132133483887,-1.2078720331192017,-1.2073897123336792,-0.00048232078552246094,-0.041475556790828705,-0.041530027985572815,5.447119474411011e-05,-0.685494065284729,-0.6842396855354309,-0.0012543797492980957,0.0006307915318757296,-0.0005422577960416675,0.001173049327917397
200,9.968513488769531,-0.5240980982780457,-0.9005287885665894,9.967992782592773,0.09552144259214401,0.004821884445846081,-0.00046612077858299017,-0.4188150465488434,-0.43274953961372375,0.013934493064880371,4.169866561889648,4.175840377807617,-0.00597381591796875,-0.6891034245491028,-0.7043962478637695,0.015292823314666748,-1.2085682153701782,-1.2108409404754639,0.0022727251052856445,-0.040797632187604904,-0.04106764867901802,0.00027001649141311646,-0.6876534819602966,-0.6866641640663147,-0.0009893178939819336,0.0005016915965825319,-0.00024568007211200893,0.0007473716977983713
205,10.00586223602295,-0.5156835317611694,-0.9047008156776428,10.005929946899414,0.10304588079452515,0.005239602643996477,0.00031020332244224846,-0.4448612332344055,-0.4388570785522461,-0.006004154682159424,4.167695999145508,4.167352199554443,0.0003437995910644531,-0.7106478810310364,-0.7070342898368835,-0.003613591194152832,-1.206019639968872,-1.206739902496338,0.0007202625274658203,-0.04090019315481186,-0.04141351580619812,0.000513322651386261,-0.6852173209190369,-0.6838896870613098,-0.0013276338577270508,0.0006546981749124825,0.00015594111755490303,0.0004987570573575795
210,9.947640419006348,-0.531205952167511,-0.8988794684410095,9.947598457336426,0.09356976300477982,0.005047785583883524,-0.0002820220252033323,-0.41328713297843933,-0.4256146252155304,0.012327492237091064,4.176170349121094,4.177267551422119,-0.0010972023010253906,-0.6801406145095825,-0.6932255625724792,0.013084948062896729,-1.2108737230300903,-1.2093805074691772,-0.001493215560913086,-0.04125345125794411,-0.04132479429244995,7.134303450584412e-05,-0.6884199976921082,-0.6866000294685364,-0.0018199682235717773,0.000586305046454072,-0.00047113560140132904,0.001057440647855401
215,10.035384178161621,-0.5138451457023621,-0.9245927333831787,10.035530090332031,0.10415462404489517,0.006098022684454918,-9.736073116073385e-05,-0.44976601004600525,-0.43712323904037476,-0.012642771005630493,4.171187400817871,4.170618057250977,0.0005693435668945312,-0.7118927240371704,-0.7020528316497803,-0.009839892387390137,-1.2078427076339722,-1.207659125328064,-0.00018358230590820312,-0.04137609153985977,-0.041406795382499695,3.0703842639923096e-05,-0.6848372220993042,-0.6841753721237183,-0.0006618499755859375,0.0006465853075496852,-0.00012122093176003546,0.0007678062538616359
220,10.082664489746094,-0.5092818737030029,-0.8996636867523193,10.082523345947266,0.1071908250451088,0.0053911167196929455,-0.0004901150241494179,-0.4369927644729614,-0.4229404032230377,-0.014052361249923706,4.171236991882324,4.184566974639893,-0.01332998275756836,-0.6987558007240295,-0.6885178685188293,-0.010237932205200195,-1.207316517829895,-1.2120048999786377,0.004688382148742676,-0.04101856052875519,-0.041386500000953674,0.00036793947219848633,-0.6855907440185547,-0.6874143481254578,0.0018236041069030762,0.0005368169513531029,-0.00033002541749738157,0.000866842339746654
225,9.887517929077148,-0.5380750894546509,-0.9180408716201782,9.887039184570312,0.08720642328262329,0.006041755434125662,-0.0004431084089446813,-0.4163786768913269,-0.4457746744155884,0.029395997524261475,4.1833271980285645,4.177515506744385,0.0058116912841796875,-0.6795787215232849,-0.7077926397323608,0.028213918209075928,-1.2126450538635254,-1.2086824178695679,-0.0039626359939575195,-0.041459184139966965,-0.0410454235970974,-0.00041376054286956787,-0.6886090636253357,-0.685067892074585,-0.0035411715507507324,0.0005560810095630586,-0.0003449060895945877,0.0009009870700538158
230,10.257253646850586,-0.48840659856796265,-0.9459292888641357,10.259450912475586,0.11961877346038818,0.004693972412496805,-0.0007172740297392011,-0.44895032048225403,-0.39532962441444397,-0.05362069606781006,4.164412975311279,4.192164421081543,-0.027751445770263672,-0.7074808478355408,-0.6615782976150513,-0.0459025502204895,-1.204140543937683,-1.2150672674179077,0.01092672348022461,-0.04113602265715599,-0.04160154610872269,0.00046552345156669617,-0.6827475428581238,-0.690307080745697,0.007559537887573242,0.0005463098059408367,-0.0005183112807571888,0.0010646211449056864
