playtime ee_desired_x ee_desired_y ee_desired_z ee_current_x ee_current_y ee_current_z q_joint_1 q_joint_2 q_joint_3 q_joint_4 q_joint_5 q_joint_6 q_joint_7
11.135 0.554701 0.0197591 0.62483 0.554716 0.00577899 0.624835 -0.0745822 -0.00134775 0.084198 -1.57287 0.00386874 1.57725 0.0318742
11.136 0.554701 0.0197591 0.62483 0.554717 0.00593479 0.624835 -0.0781113 -0.0013409 0.088006 -1.57286 0.00386647 1.57725 0.0318909
11.137 0.554701 0.0197591 0.62483 0.554718 0.00609038 0.624835 -0.081719 -0.00133391 0.0918922 -1.57285 0.00386412 1.57725 0.0319073
11.138 0.554701 0.0197591 0.62483 0.554718 0.00624571 0.624835 -0.0854044 -0.00132677 0.0958556 -1.57284 0.0038617 1.57725 0.0319235
11.139 0.554701 0.0197591 0.62483 0.554719 0.00640072 0.624836 -0.0891664 -0.00131949 0.0998951 -1.57284 0.00385921 1.57725 0.0319394
11.14 0.554701 0.0197591 0.62483 0.55472 0.00655536 0.624836 -0.0930042 -0.00131207 0.10401 -1.57283 0.00385665 1.57725 0.0319551
11.141 0.554701 0.0197591 0.62483 0.554721 0.00670958 0.624836 -0.0969166 -0.00130451 0.108198 -1.57282 0.00385402 1.57725 0.0319705
11.142 0.554701 0.0197591 0.62483 0.554722 0.00686332 0.624836 -0.100903 -0.00129683 0.112459 -1.57281 0.00385132 1.57725 0.0319857
11.143 0.554701 0.0197591 0.62483 0.554722 0.00701655 0.624836 -0.104961 -0.00128901 0.116792 -1.57279 0.00384856 1.57725 0.0320007
11.144 0.554701 0.0197591 0.62483 0.554723 0.0071692 0.624837 -0.109091 -0.00128108 0.121195 -1.57278 0.00384575 1.57725 0.0320154
11.145 0.554701 0.0197591 0.62483 0.554724 0.00732125 0.624837 -0.113292 -0.00127303 0.125668 -1.57277 0.00384287 1.57725 0.03203
11.146 0.554701 0.0197591 0.62483 0.554725 0.00747264 0.624837 -0.117561 -0.00126486 0.130208 -1.57276 0.00383994 1.57725 0.0320442
11.147 0.554701 0.0197591 0.62483 0.554726 0.00762333 0.624837 -0.121898 -0.00125659 0.134815 -1.57275 0.00383695 1.57725 0.0320583
11.148 0.554701 0.0197591 0.62483 0.554727 0.00777329 0.624838 -0.126302 -0.00124821 0.139488 -1.57274 0.00383392 1.57725 0.0320722
11.149 0.554701 0.0197591 0.62483 0.554727 0.00792249 0.624838 -0.130772 -0.00123974 0.144224 -1.57273 0.00383084 1.57725 0.0320858
11.15 0.554701 0.0197591 0.62483 0.554728 0.00807087 0.624838 -0.135306 -0.00123117 0.149024 -1.57272 0.00382771 1.57725 0.0320992
11.151 0.554701 0.0197591 0.62483 0.554729 0.00821841 0.624838 -0.139903 -0.00122251 0.153885 -1.57271 0.00382454 1.57725 0.0321124
11.152 0.554701 0.0197591 0.62483 0.55473 0.00836508 0.624839 -0.144561 -0.00121377 0.158806 -1.57269 0.00382133 1.57725 0.0321254
11.153 0.554701 0.0197591 0.62483 0.554731 0.00851085 0.624839 -0.14928 -0.00120495 0.163785 -1.57268 0.00381808 1.57725 0.0321382
11.154 0.554701 0.0197591 0.62483 0.554732 0.00865568 0.624839 -0.154058 -0.00119606 0.168823 -1.57267 0.0038148 1.57725 0.0321509
11.155 0.554701 0.0197591 0.62483 0.554733 0.00879955 0.62484 -0.158894 -0.0011871 0.173916 -1.57266 0.00381149 1.57725 0.0321633
11.156 0.554701 0.0197591 0.62483 0.554734 0.00894242 0.62484 -0.163786 -0.00117807 0.179064 -1.57265 0.00380815 1.57725 0.0321755
11.157 0.554701 0.0197591 0.62483 0.554735 0.00908429 0.62484 -0.168734 -0.00116899 0.184266 -1.57263 0.00380479 1.57725 0.0321875
