playtime ee_desired_x ee_desired_y ee_desired_z ee_current_x ee_current_y ee_current_z q_joint_1 q_joint_2 q_joint_3 q_joint_4 q_joint_5 q_joint_6 q_joint_7
11.108 0.3 -0.012 0.52 -0.0166174 -0.000960199 0.821711 0.000840667 -1.06314 -0.00113678 -1.61625 -0.00358588 0.552144 0.0248164
11.109 0.3 -0.012 0.52 -0.016495 -0.000966504 0.821508 0.000877509 -1.06348 -0.00114039 -1.61725 -0.00361862 0.552378 0.0249981
11.11 0.3 -0.012 0.52 -0.0163722 -0.000972872 0.821304 0.000914447 -1.06382 -0.00114415 -1.61824 -0.00365138 0.552616 0.0251794
11.111 0.3 -0.012 0.52 -0.0162491 -0.000979301 0.821099 0.000951464 -1.06416 -0.00114808 -1.61924 -0.00368415 0.552856 0.0253603
11.112 0.3 -0.012 0.52 -0.0161256 -0.00098579 0.820894 0.000988544 -1.0645 -0.00115217 -1.62025 -0.00371691 0.5531 0.0255406
11.113 0.3 -0.012 0.52 -0.0160019 -0.00099234 0.820688 0.00102567 -1.06484 -0.00115642 -1.62126 -0.00374968 0.553348 0.0257204
11.114 0.3 -0.012 0.52 -0.0158778 -0.000998949 0.820481 0.00106283 -1.06519 -0.00116083 -1.62227 -0.00378243 0.553598 0.0258995
11.115 0.3 -0.012 0.52 -0.0157535 -0.00100562 0.820274 0.00110001 -1.06553 -0.00116542 -1.62329 -0.00381517 0.553852 0.0260779
11.116 0.3 -0.012 0.52 -0.0156289 -0.00101234 0.820066 0.00113719 -1.06588 -0.00117016 -1.62431 -0.00384788 0.55411 0.0262554
11.117 0.3 -0.012 0.52 -0.015504 -0.00101913 0.819857 0.00117436 -1.06623 -0.00117508 -1.62533 -0.00388058 0.55437 0.026432
11.118 0.3 -0.012 0.52 -0.0153788 -0.00102597 0.819647 0.0012115 -1.06659 -0.00118016 -1.62635 -0.00391324 0.554634 0.0266077
11.119 0.3 -0.012 0.52 -0.0152535 -0.00103286 0.819437 0.00124861 -1.06694 -0.00118541 -1.62738 -0.00394587 0.554901 0.0267823
11.12 0.3 -0.012 0.52 -0.0151278 -0.00103981 0.819227 0.00128566 -1.0673 -0.00119082 -1.62841 -0.00397845 0.555171 0.0269558
11.121 0.3 -0.012 0.52 -0.015002 -0.00104682 0.819016 0.00132265 -1.06766 -0.0011964 -1.62945 -0.004011 0.555444 0.0271281
11.122 0.3 -0.012 0.52 -0.014876 -0.00105388 0.818804 0.00135956 -1.06802 -0.00120215 -1.63049 -0.0040435 0.555721 0.0272992
11.123 0.3 -0.012 0.52 -0.0147497 -0.00106099 0.818592 0.00139639 -1.06838 -0.00120807 -1.63152 -0.00407595 0.556 0.0274691
11.124 0.3 -0.012 0.52 -0.0146233 -0.00106815 0.818379 0.00143311 -1.06874 -0.00121415 -1.63257 -0.00410835 0.556283 0.0276375
11.125 0.3 -0.012 0.52 -0.0144966 -0.00107537 0.818166 0.00146972 -1.0691 -0.0012204 -1.63361 -0.00414069 0.556569 0.0278046
11.126 0.3 -0.012 0.52 -0.0143698 -0.00108264 0.817953 0.00150621 -1.06947 -0.00122681 -1.63466 -0.00417297 0.556858 0.0279702
11.127 0.3 -0.012 0.52 -0.0142429 -0.00108995 0.817738 0.00154256 -1.06984 -0.00123338 -1.63571 -0.00420519 0.55715 0.0281343
11.128 0.3 -0.012 0.52 -0.0141157 -0.00109732 0.817524 0.00157877 -1.07021 -0.00124012 -1.63676 -0.00423735 0.557446 0.0282969
11.129 0.3 -0.012 0.52 -0.0139885 -0.00110473 0.817309 0.00161483 -1.07058 -0.00124703 -1.63782 -0.00426943 0.557744 0.0284578
11.13 0.3 -0.012 0.52 -0.013861 -0.00111219 0.817094 0.00165073 -1.07095 -0.00125409 -1.63887 -0.00430145 0.558045 0.0286171
11.131 0.3 -0.012 0.52 -0.0137335 -0.0011197 0.816878 0.00168645 -1.07132 -0.00126132 -1.63993 -0.0043334 0.55835 0.0287747
11.132 0.3 -0.012 0.52 -0.0136058 -0.00112726 0.816662 0.00172199 -1.0717 -0.0012687 -1.64099 -0.00436527 0.558657 0.0289306
11.133 0.3 -0.012 0.52 -0.0134779 -0.00113486 0.816445 0.00175734 -1.07207 -0.00127625 -1.64205 -0.00439707 0.558968 0.0290847
11.134 0.3 -0.012 0.52 -0.01335 -0.0011425 0.816228 0.0017925 -1.07245 -0.00128395 -1.64312 -0.00442879 0.559281 0.0292371
11.135 0.3 -0.012 0.52 -0.0132219 -0.00115019 0.816011 0.00182745 -1.07283 -0.00129181 -1.64418 -0.00446044 0.559597 0.0293876
11.136 0.3 -0.012 0.52 -0.0130937 -0.00115792 0.815793 0.00186219 -1.07321 -0.00129982 -1.64525 -0.004492 0.559917 0.0295362
11.137 0.3 -0.012 0.52 -0.0129655 -0.00116569 0.815575 0.00189671 -1.07359 -0.00130798 -1.64632 -0.00452348 0.560239 0.0296829
11.138 0.3 -0.012 0.52 -0.0128371 -0.0011735 0.815357 0.001931 -1.07397 -0.0013163 -1.64739 -0.00455488 0.560564 0.0298277
11.139 0.3 -0.012 0.52 -0.0127086 -0.00118136 0.815139 0.00196506 -1.07435 -0.00132477 -1.64846 -0.0045862 0.560892 0.0299705
