playtime target_pos_ee(x) target_pos_ee(y) target_pos_ee(z) current_pos_ee(x) current_pos_ee(y) current_pos_ee(z) target_pos_link4(x) target_pos_link4(y) target_pos_link4(z) current_pos_link4(x) current_pos_link4(y) current_pos_link4(z) q_desired_1 q_desired_2 q_desired_3 q_desired_4 q_desired_5 q_desired_6 q_desired_7
8.074 0.35 0.28 0.7 0.554672 9.38473e-06 0.623746 0 -0.15 0.5 0.0827357 2.10792e-06 0.648938 0.000106003 0.000368462  0.00010707     -1.5714 3.48648e-05      1.5704    0.785395
8.075 0.35 0.28 0.7 0.554672 1.05595e-05 0.623742 0 -0.15 0.5 0.0827364 2.27669e-06 0.648938 0.000111577 0.000357382 0.000112719    -1.57141 3.93928e-05     1.57039    0.785395
8.076 0.35 0.28 0.7 0.554672 1.17952e-05 0.623738 0 -0.15 0.5 0.0827371 2.4539e-06 0.648938 0.000117292 0.000346018 0.000118511    -1.57142 4.40626e-05     1.57038    0.785395
8.077 0.35 0.28 0.7 0.554673 1.30933e-05 0.623734 0 -0.15 0.5 0.0827377 2.63972e-06 0.648938 0.000123147 0.000334369 0.000124446    -1.57142 4.88749e-05     1.57037    0.785395
8.078 0.35 0.28 0.7 0.554673 1.44548e-05 0.62373 0 -0.15 0.5 0.0827383 2.83431e-06 0.648938 0.000129141 0.000322436 0.000130524    -1.57143 5.38306e-05     1.57036    0.785395
8.079 0.35 0.28 0.7 0.554673 1.58812e-05 0.623727 0 -0.15 0.5 0.0827388 3.03784e-06 0.648938 0.000135276 0.000310219 0.000136745    -1.57144 5.89302e-05     1.57034    0.785395
8.08 0.35 0.28 0.7 0.554673 1.73734e-05 0.623723 0 -0.15 0.5 0.0827393 3.25047e-06 0.648937  0.00014155 0.000297718 0.000143109    -1.57145 6.41745e-05     1.57033    0.785395
8.081 0.35 0.28 0.7 0.554673 1.89328e-05 0.623719 0 -0.15 0.5 0.0827398 3.47238e-06 0.648937 0.000147963 0.000284933 0.000149615    -1.57146 6.95642e-05     1.57032    0.785395
8.082 0.35 0.28 0.7 0.554673 2.05606e-05 0.623716 0 -0.15 0.5 0.0827402 3.70371e-06 0.648937 0.000154516 0.000271865 0.000156264    -1.57146    7.51e-05     1.57031    0.785395
8.083 0.35 0.28 0.7 0.554673 2.22578e-05 0.623712 0 -0.15 0.5 0.0827405 3.94462e-06 0.648937 0.000161208 0.000258512 0.000163055    -1.57147 8.07826e-05      1.5703    0.785395
8.084 0.35 0.28 0.7 0.554673 2.40257e-05 0.623709 0 -0.15 0.5 0.0827408 4.19528e-06 0.648937 0.000168039 0.000244876 0.000169988    -1.57148 8.66129e-05     1.57029    0.785395
