playtime q_target_4 q_joint_4 q_error_4 tau_desired_4 q_joint_1 q_joint_2 q_joint_3 q_joint_4 q_joint_5 q_joint_6 q_joint_7
42.187 -0.436332 -0.490067 0.0537346 1.77734 0.000569207 0.0250367 0.000570226 -0.490067 -0.00144168 1.56504 -0.000683409
42.188 -0.436332 -0.489711 0.0533791 1.78373 0.000574964 0.0254145 0.000573553 -0.489711 -0.0014581 1.565 -0.000671859
42.189 -0.436332 -0.48936 0.0530279 1.7906 0.00058062 0.0257924 0.000576759 -0.48936 -0.0014744 1.56496 -0.000660422
42.19 -0.436332 -0.489013 0.0526809 1.79793 0.000586177 0.0261703 0.000579842 -0.489013 -0.00149057 1.56492 -0.0006491
42.191 -0.436332 -0.48867 0.0523381 1.80571 0.000591632 0.0265484 0.000582804 -0.48867 -0.00150664 1.56489 -0.000637889
42.192 -0.436332 -0.488332 0.0519995 1.81391 0.000596987 0.0269265 0.000585646 -0.488332 -0.00152258 1.56485 -0.00062679
42.193 -0.436332 -0.487997 0.0516651 1.82253 0.000602242 0.0273048 0.000588369 -0.487997 -0.00153841 1.56481 -0.0006158
42.194 -0.436332 -0.487667 0.0513349 1.83155 0.000607396 0.027683 0.000590974 -0.487667 -0.00155412 1.56477 -0.00060492
42.195 -0.436332 -0.487341 0.0510089 1.84096 0.000612449 0.0280614 0.000593461 -0.487341 -0.00156972 1.56473 -0.000594149
42.196 -0.436332 -0.487019 0.0506871 1.85074 0.000617402 0.0284398 0.000595831 -0.487019 -0.0015852 1.5647 -0.000583484
42.197 -0.436332 -0.486702 0.0503695 1.86087 0.000622255 0.0288182 0.000598086 -0.486702 -0.00160057 1.56466 -0.000572925
42.198 -0.436332 -0.486388 0.0500561 1.87136 0.000627009 0.0291967 0.000600225 -0.486388 -0.00161583 1.56462 -0.000562472
42.199 -0.436332 -0.486079 0.0497468 1.88217 0.000631662 0.0295753 0.000602251 -0.486079 -0.00163097 1.56459 -0.000552122
42.2 -0.436332 -0.485774 0.0494417 1.89331 0.000636217 0.0299538 0.000604165 -0.485774 -0.001646 1.56455 -0.000541876
42.201 -0.436332 -0.485473 0.0491408 1.90475 0.000640672 0.0303325 0.000605966 -0.485473 -0.00166093 1.56452 -0.000531732
42.202 -0.436332 -0.485176 0.048844 1.9165 0.000645029 0.0307111 0.000607656 -0.485176 -0.00167574 1.56448 -0.000521689
42.203 -0.436332 -0.484884 0.0485513 1.92854 0.000649288 0.0310898 0.000609237 -0.484884 -0.00169045 1.56445 -0.000511747
42.204 -0.436332 -0.484595 0.0482628 1.94085 0.000653449 0.0314685 0.000610708 -0.484595 -0.00170504 1.56441 -0.000501904
42.205 -0.436332 -0.484311 0.0479784 1.95343 0.000657513 0.0318472 0.000612072 -0.484311 -0.00171954 1.56438 -0.000492159
42.206 -0.436332 -0.48403 0.047698 1.96628 0.00066148 0.0322259 0.000613328 -0.48403 -0.00173392 1.56434 -0.000482511
42.207 -0.436332 -0.483754 0.0474217 1.97937 0.000665351 0.0326047 0.000614479 -0.483754 -0.0017482 1.56431 -0.00047296
42.208 -0.436332 -0.483482 0.0471495 1.99271 0.000669126 0.0329835 0.000615525 -0.483482 -0.00176238 1.56428 -0.000463505
42.209 -0.436332 -0.483214 0.0468813 2.00628 0.000672806 0.0333623 0.000616467 -0.483214 -0.00177645 1.56424 -0.000454145
42.21 -0.436332 -0.482949 0.0466172 2.02008 0.000676392 0.0337412 0.000617306 -0.482949 -0.00179042 1.56421 -0.000444878
42.211 -0.436332 -0.482689 0.046357 2.0341 0.000679883 0.03412 0.000618043 -0.482689 -0.00180429 1.56418 -0.000435704
42.212 -0.436332 -0.482433 0.0461008 2.04832 0.000683281 0.0344989 0.000618679 -0.482433 -0.00181806 1.56414 -0.000426622
42.213 -0.436332 -0.482181 0.0458486 2.06275 0.000686586 0.0348778 0.000619216 -0.482181 -0.00183173 1.56411 -0.000417631
42.214 -0.436332 -0.481933 0.0456003 2.07738 0.000689799 0.0352568 0.000619654 -0.481933 -0.0018453 1.56408 -0.000408731
42.215 -0.436332 -0.481688 0.045356 2.0922 0.000692921 0.0356358 0.000619994 -0.481688 -0.00185878 1.56405 -0.00039992
42.216 -0.436332 -0.481448 0.0451156 2.10721 0.000695952 0.0360148 0.000620238 -0.481448 -0.00187216 1.56401 -0.000391197
42.217 -0.436332 -0.481211 0.044879 2.12239 0.000698893 0.0363938 0.000620385 -0.481211 -0.00188544 1.56398 -0.000382562
42.218 -0.436332 -0.480979 0.0446463 2.13774 0.000701745 0.0367729 0.000620438 -0.480979 -0.00189863 1.56395 -0.000374014
42.219 -0.436332 -0.48075 0.0444175 2.15327 0.000704508 0.037152 0.000620398 -0.48075 -0.00191173 1.56392 -0.000365552
42.22 -0.436332 -0.480525 0.0441925 2.16895 0.000707183 0.0375312 0.000620265 -0.480525 -0.00192473 1.56389 -0.000357176
42.221 -0.436332 -0.480304 0.0439712 2.18479 0.000709771 0.0379104 0.00062004 -0.480304 -0.00193764 1.56386 -0.000348883
42.222 -0.436332 -0.480086 0.0437538 2.20078 0.000712273 0.0382897 0.000619725 -0.480086 -0.00195047 1.56383 -0.000340675
42.223 -0.436332 -0.479872 0.0435401 2.21691 0.000714688 0.038669 0.00061932 -0.479872 -0.0019632 1.5638 -0.000332549
42.224 -0.436332 -0.479662 0.0433301 2.23319 0.00071702 0.0390483 0.000618827 -0.479662 -0.00197584 1.56376 -0.000324505
42.225 -0.436332 -0.479456 0.0431238 2.2496 0.000719266 0.0394277 0.000618246 -0.479456 -0.0019884 1.56373 -0.000316542
42.226 -0.436332 -0.479254 0.0429212 2.26615 0.00072143 0.0398072 0.000617578 -0.479254 -0.00200087 1.5637 -0.00030866
42.227 -0.436332 -0.479055 0.0427223 2.28283 0.000723511 0.0401867 0.000616825 -0.479055 -0.00201326 1.56367 -0.000300857
42.228 -0.436332 -0.478859 0.042527 2.29963 0.000725511 0.0405663 0.000615988 -0.478859 -0.00202556 1.56364 -0.000293133
42.229 -0.436332 -0.478668 0.0423353 2.31655 0.000727429 0.040946 0.000615067 -0.478668 -0.00203777 1.56361 -0.000285488
42.23 -0.436332 -0.478479 0.0421471 2.33359 0.000729267 0.0413258 0.000614063 -0.478479 -0.00204991 1.56358 -0.00027792
42.231 -0.436332 -0.478295 0.0419626 2.35074 0.000731026 0.0417056 0.000612978 -0.478295 -0.00206196 1.56355 -0.000270428
42.232 -0.436332 -0.478114 0.0417816 2.368 0.000732707 0.0420855 0.000611812 -0.478114 -0.00207394 1.56352 -0.000263013
42.233 -0.436332 -0.477936 0.0416041 2.38537 0.000734309 0.0424655 0.000610566 -0.477936 -0.00208583 1.5635 -0.000255672
42.234 -0.436332 -0.477762 0.0414301 2.40284 0.000735835 0.0428456 0.000609242 -0.477762 -0.00209764 1.56347 -0.000248406
42.235 -0.436332 -0.477592 0.0412595 2.42041 0.000737285 0.0432258 0.00060784 -0.477592 -0.00210938 1.56344 -0.000241214
42.236 -0.436332 -0.477425 0.0410924 2.43808 0.000738659 0.043606 0.000606361 -0.477425 -0.00212104 1.56341 -0.000234095
42.237 -0.436332 -0.477261 0.0409287 2.45584 0.000739959 0.0439864 0.000604806 -0.477261 -0.00213262 1.56338 -0.000227048
42.238 -0.436332 -0.477101 0.0407684 2.4737 0.000741186 0.0443669 0.000603176 -0.477101 -0.00214413 1.56335 -0.000220073
42.239 -0.436332 -0.476944 0.0406114 2.49164 0.00074234 0.0447475 0.000601473 -0.476944 -0.00215557 1.56332 -0.000213168
42.24 -0.436332 -0.47679 0.0404578 2.50967 0.000743421 0.0451282 0.000599696 -0.47679 -0.00216693 1.56329 -0.000206334
42.241 -0.436332 -0.47664 0.0403075 2.52778 0.000744432 0.045509 0.000597847 -0.47664 -0.00217822 1.56326 -0.00019957
42.242 -0.436332 -0.476493 0.0401605 2.54598 0.000745372 0.0458899 0.000595927 -0.476493 -0.00218943 1.56324 -0.000192874
42.243 -0.436332 -0.476349 0.0400168 2.56425 0.000746243 0.046271 0.000593937 -0.476349 -0.00220058 1.56321 -0.000186247
42.244 -0.436332 -0.476209 0.0398763 2.5826 0.000747045 0.0466522 0.000591877 -0.476209 -0.00221166 1.56318 -0.000179688
42.245 -0.436332 -0.476071 0.039739 2.60103 0.000747779 0.0470335 0.000589748 -0.476071 -0.00222267 1.56315 -0.000173195
42.246 -0.436332 -0.475937 0.0396049 2.61953 0.000748446 0.047415 0.000587552 -0.475937 -0.00223361 1.56312 -0.000166768
42.247 -0.436332 -0.475806 0.0394739 2.6381 0.000749047 0.0477966 0.000585289 -0.475806 -0.00224448 1.5631 -0.000160408
42.248 -0.436332 -0.475678 0.0393462 2.65674 0.000749582 0.0481784 0.00058296 -0.475678 -0.00225529 1.56307 -0.000154112
42.249 -0.436332 -0.475554 0.0392215 2.67544 0.000750053 0.0485603 0.000580566 -0.475554 -0.00226604 1.56304 -0.00014788
42.25 -0.436332 -0.475432 0.0390999 2.69421 0.00075046 0.0489423 0.000578108 -0.475432 -0.00227671 1.56301 -0.000141713
42.251 -0.436332 -0.475314 0.0389814 2.71304 0.000750804 0.0493245 0.000575586 -0.475314 -0.00228733 1.56299 -0.000135608
42.252 -0.436332 -0.475198 0.0388659 2.73194 0.000751086 0.0497069 0.000573002 -0.475198 -0.00229788 1.56296 -0.000129566
42.253 -0.436332 -0.475086 0.0387535 2.75089 0.000751306 0.0500895 0.000570356 -0.475086 -0.00230837 1.56293 -0.000123586
42.254 -0.436332 -0.474976 0.038644 2.7699 0.000751466 0.0504722 0.000567649 -0.474976 -0.0023188 1.5629 -0.000117668
42.255 -0.436332 -0.47487 0.0385376 2.78897 0.000751566 0.0508551 0.000564882 -0.47487 -0.00232917 1.56288 -0.00011181
42.256 -0.436332 -0.474766 0.038434 2.8081 0.000751607 0.0512381 0.000562056 -0.474766 -0.00233948 1.56285 -0.000106012
42.257 -0.436332 -0.474666 0.0383334 2.82727 0.000751589 0.0516214 0.000559171 -0.474666 -0.00234973 1.56282 -0.000100274
42.258 -0.436332 -0.474568 0.0382357 2.84651 0.000751514 0.0520048 0.000556229 -0.474568 -0.00235992 1.5628 -9.45949e-05
42.259 -0.436332 -0.474473 0.0381409 2.86579 0.000751383 0.0523884 0.000553229 -0.474473 -0.00237006 1.56277 -8.89741e-05
42.26 -0.436332 -0.474381 0.0380489 2.88512 0.000751195 0.0527722 0.000550174 -0.474381 -0.00238014 1.56274 -8.34113e-05
42.261 -0.436332 -0.474292 0.0379598 2.9045 0.000750952 0.0531562 0.000547063 -0.474292 -0.00239016 1.56272 -7.79057e-05
42.262 -0.436332 -0.474206 0.0378734 2.92393 0.000750655 0.0535404 0.000543898 -0.474206 -0.00240013 1.56269 -7.24569e-05
42.263 -0.436332 -0.474122 0.0377899 2.9434 0.000750304 0.0539248 0.000540678 -0.474122 -0.00241004 1.56266 -6.70643e-05
42.264 -0.436332 -0.474041 0.0377091 2.96292 0.0007499 0.0543094 0.000537406 -0.474041 -0.0024199 1.56264 -6.17274e-05
42.265 -0.436332 -0.473963 0.037631 2.98248 0.000749444 0.0546942 0.000534081 -0.473963 -0.00242971 1.56261 -5.64456e-05
42.266 -0.436332 -0.473888 0.0375557 3.00209 0.000748937 0.0550792 0.000530704 -0.473888 -0.00243947 1.56258 -5.12183e-05
42.267 -0.436332 -0.473815 0.037483 3.02174 0.000748379 0.0554644 0.000527277 -0.473815 -0.00244917 1.56256 -4.60451e-05
42.268 -0.436332 -0.473745 0.037413 3.04143 0.000747771 0.0558499 0.000523799 -0.473745 -0.00245883 1.56253 -4.09254e-05
42.269 -0.436332 -0.473678 0.0373457 3.06115 0.000747113 0.0562356 0.000520272 -0.473678 -0.00246843 1.56251 -3.58588e-05
42.27 -0.436332 -0.473613 0.0372809 3.08092 0.000746407 0.0566215 0.000516696 -0.473613 -0.00247799 1.56248 -3.08446e-05
42.271 -0.436332 -0.473551 0.0372188 3.10073 0.000745653 0.0570076 0.000513072 -0.473551 -0.00248749 1.56245 -2.58824e-05
42.272 -0.436332 -0.473492 0.0371593 3.12057 0.000744852 0.0573939 0.0005094 -0.473492 -0.00249695 1.56243 -2.09717e-05
42.273 -0.436332 -0.473435 0.0371023 3.14045 0.000744005 0.0577805 0.000505682 -0.473435 -0.00250636 1.5624 -1.6112e-05
42.274 -0.436332 -0.47338 0.0370479 3.16036 0.000743111 0.0581673 0.000501918 -0.47338 -0.00251573 1.56238 -1.13028e-05
42.275 -0.436332 -0.473328 0.0369959 3.18031 0.000742173 0.0585544 0.000498108 -0.473328 -0.00252505 1.56235 -6.54351e-06
42.276 -0.436332 -0.473279 0.0369465 3.20029 0.00074119 0.0589417 0.000494253 -0.473279 -0.00253432 1.56233 -1.83378e-06
42.277 -0.436332 -0.473232 0.0368995 3.22031 0.000740164 0.0593292 0.000490354 -0.473232 -0.00254355 1.5623 2.82692e-06
42.278 -0.436332 -0.473187 0.036855 3.24036 0.000739094 0.059717 0.000486412 -0.473187 -0.00255274 1.56227 7.43907e-06
42.279 -0.436332 -0.473145 0.0368129 3.26044 0.000737983 0.060105 0.000482427 -0.473145 -0.00256188 1.56225 1.20031e-05
42.28 -0.436332 -0.473106 0.0367733 3.28055 0.000736829 0.0604933 0.000478399 -0.473106 -0.00257098 1.56222 1.65196e-05
42.281 -0.436332 -0.473068 0.036736 3.30069 0.000735634 0.0608819 0.00047433 -0.473068 -0.00258004 1.5622 2.09889e-05
42.282 -0.436332 -0.473033 0.0367011 3.32086 0.000734399 0.0612707 0.00047022 -0.473033 -0.00258906 1.56217 2.54115e-05
42.283 -0.436332 -0.473001 0.0366685 3.34106 0.000733125 0.0616597 0.00046607 -0.473001 -0.00259803 1.56215 2.97879e-05
